,Instance,Size,Alpha_e,time_endurance,fleet_size,GAP,Runtime,NodeCount,ObjVal
0,0,5,True,20,1,0.9073937676956223,7200.063179016113,75871.0,126.48261712913146
1,1,5,True,20,1,0.9340713328028365,7200.331409454346,59081.0,200.48355537607182
2,2,5,True,20,1,0.9449256845769183,7200.128061294556,70397.0,164.9264184265575
3,3,5,True,20,1,0.9459196449577092,7200.14345741272,73129.0,147.62920749338923
4,4,5,True,20,1,0.907805852818147,7200.1185874938965,107706.0,118.0177220011912
5,0,5,True,20,2,1.0,7200.936233520508,174914.0,217.75408596325144
6,1,5,True,20,2,1.0,7200.311319351196,195691.0,170.7792611857231
7,2,5,True,20,2,1.0,7200.362529754639,163558.0,207.0399088589499
8,3,5,True,20,2,0.9999999999999695,7200.118627548218,248606.0,195.6253167574313
9,4,5,True,20,2,1.0,7200.591691970825,163063.0,180.8745964574083
10,0,5,True,20,3,1.0,7200.359619140625,113005.0,124.936452973308
11,1,5,True,20,3,1.0,7200.743339538574,84144.0,207.8103087765795
12,2,5,True,20,3,1.0,7200.416864395142,120824.0,252.23863277098002
13,3,5,True,20,3,1.0,7200.145307540894,100570.0,221.45331199792696
14,4,5,True,20,3,1.0,7200.565752029419,98962.0,197.40226693843542
15,0,5,True,30,1,0.9173566917995586,7200.114604949951,151023.0,97.5438575753426
16,1,5,True,30,1,0.8861327651327243,7200.518714904785,117204.0,117.58158032815084
17,2,5,True,30,1,0.8881610590922199,7200.174510955811,116701.0,88.12458227443013
