,Instance,Size,Alpha_e,time_endurance,fleet_size,GAP,Runtime,NodeCount,ObjVal
0,3,5,True,30,1,0.7273358328063954,7200.215044021606,89658.0,115.55359765708441
1,4,5,True,30,1,0.932978044481457,7200.119888305664,153929.0,149.95822952094596
2,0,5,True,30,2,1.0,7200.11231803894,194913.0,114.64342064972838
3,1,5,True,30,2,1.0,7200.125597000122,118767.0,101.20922770637334
4,2,5,True,30,2,1.0,7200.155988693237,161145.0,135.15684797374826
5,3,5,True,30,2,1.0,7200.281524658203,93864.0,130.72336635582073
6,4,5,True,30,2,1.0,7200.218017578125,92433.0,91.5187436588744
7,0,5,True,30,3,1.0,7200.124862670898,94899.0,117.7546399037511
8,1,5,True,30,3,1.0,7200.098617553711,68885.0,102.71658548328246
9,2,5,True,30,3,1.0,7200.911518096924,102740.0,172.55769527184228
10,3,5,True,30,3,0.999999999999995,7200.3853549957275,116108.0,153.4064240743627
11,4,5,True,30,3,1.0,7200.163673400879,104568.0,216.38202441073543
12,0,5,True,40,1,0.7891132382381103,7200.138343811035,119853.0,79.98532482007236
13,1,5,True,40,1,0.9021887584985989,7200.1109619140625,124633.0,98.87987822962452
14,2,5,True,40,1,0.9215548443377454,7200.10068321228,110973.0,111.25887739294095
15,3,5,True,40,1,0.9102616891141792,7200.2584438323975,132450.0,117.31192159110495
16,4,5,True,40,1,0.9143516676700375,7200.547227859497,181017.0,124.11390164946708
17,0,5,True,40,2,1.0,7200.156370162964,192031.0,74.95685315633216
18,1,5,True,40,2,0.9999999999999467,7200.854810714722,279304.0,90.87089609414765
19,2,5,True,40,2,0.9999999999999998,7200.379051208496,269632.0,65.30368559605971
20,3,5,True,40,2,1.0,7200.259572982788,244439.0,65.35701268769334
21,4,5,True,40,2,1.0,7200.138404846191,157628.0,87.78443467982987
22,0,5,True,40,3,0.9999999999998843,7200.1308517456055,139076.0,72.72618273870488
23,1,5,True,40,3,0.9999999999998432,7200.515232086182,141908.0,53.66325406569762
24,2,5,True,40,3,0.9999999999996678,7200.149925231934,105849.0,50.645429278558716
25,3,5,True,40,3,1.0,7200.2692794799805,95612.0,94.801568610734
26,4,5,True,40,3,0.9999999999999452,7200.929677963257,113964.0,76.68612712294791
27,0,5,True,50,1,0.9382892265648073,7200.136083602905,98381.0,117.73582051539063
28,1,5,True,50,1,0.909058646016127,7200.16872215271,133604.0,121.89329195970342
29,2,5,True,50,1,0.9094021758333476,7200.140096664429,157531.0,103.69487706869765
30,3,5,True,50,1,0.9389523388292648,7200.103176116943,126152.0,115.67731050951132
31,4,5,True,50,1,0.8543656150341126,7200.173851013184,186603.0,120.02793644562355
32,0,5,True,50,2,1.0,7200.25994682312,223519.0,86.4097980979155
33,1,5,True,50,2,1.0,7200.3830280303955,150683.0,71.34977561570851
34,2,5,True,50,2,1.0,7200.462387084961,262804.0,73.02842406842409
35,3,5,True,50,2,0.999999999999982,7200.290267944336,364682.0,80.04629107505384
36,4,5,True,50,2,1.0,7200.310966491699,269885.0,76.10788279862611
