,Instance,Size,Alpha_e,time_endurance,fleet_sizeP,Runtime,NodeCount,ObjVal,HeurTime,HeurVal
0,1,10,True,20,1,0.8404906767475463,7200.057769775391,2321.0,301.86034658014614,124.86059617996216,301.86047122392154
1,2,10,True,20,1,0.8008567964258596,7200.292461395264,2244.0,257.47853868298955,137.32175707817078,257.5135878065513
2,3,10,True,20,1,0.829245277449094,7200.046159744263,2242.0,283.6388008800074,126.12906789779663,283.6388008800074
3,4,10,True,20,1,0.8488612165777559,7200.112131118774,2073.0,310.96981690056145,134.13533067703247,310.9749219094326
4,0,10,True,20,2,0.9384605829243814,7200.245231628418,2109.0,315.2740083035968,129.27038669586182,315.2740083035968
5,1,10,True,20,2,0.9154698975948286,7200.341306686401,2188.0,264.2985562593587,132.52770328521729,264.5216577980844
6,2,10,True,20,2,,,,,Grid,Stages
7,3,10,True,20,2,0.9200845209785611,7200.105270385742,2148.0,276.03062698647426,133.40236806869507,276.9459850470822
8,4,10,True,20,2,0.8992216441797957,7200.293315887451,2174.0,258.35669445533745,136.059264421463,258.4241691635205
9,0,10,True,20,3,0.94786860353228,7200.576265335083,2072.0,317.11574293047977,134.0197148323059,317.13110656527937
10,1,10,True,20,3,0.9633166127292772,7201.362712860107,17245.0,180.40661506873903,132.66932821273804,180.40661506873903
