,Instance,Size,Alpha_e,time_endurancerance,fleet_sizeP,Runtime,NodeCount,ObjVal,HeurTime,HeurVal
0,2,10,True,20,3,,,,,Grid,Stages
1,3,10,True,20,3,0.9566263216802712,7200.607707977295,13176.0,319.3833462694359,115.117671251297,319.3978597661525
2,4,10,True,20,3,0.9572439103391649,7200.824556350708,19012.0,228.36358912030317,128.27894353866577,228.42834662798498
3,0,10,True,30,1,0.8164047055935979,7203.949733734131,2275.0,246.80686634012133,163.13787364959717,247.1120300501139
4,1,10,True,30,1,0.7897292687710957,7200.077194213867,2246.0,221.70387110202194,155.41352653503418,222.2884296479345
5,2,10,True,30,1,0.8276457860053649,7200.1097240448,2089.0,263.74342281468523,151.22473168373108,263.7948087588487
6,3,10,True,30,1,0.788710970951998,7200.128786087036,2259.0,235.73490376311918,174.7917263507843,236.46014390640636
7,4,10,True,30,1,0.8072756922788032,7200.122734069824,3337.0,246.00188598397446,150.4408187866211,246.08332182964025
8,0,10,True,30,2,0.8700578156549185,7200.107992172241,2156.0,218.13955155823209,134.67828726768494,218.15879972017117
9,1,10,True,30,2,0.8548587381189265,7200.377309799194,2499.0,149.26428580999075,127.53755569458008,149.33603091355957
10,2,10,True,30,2,0.8573036993715601,7200.38790512085,2170.0,169.87157404588788,133.89903950691223,174.46681336929157
11,3,10,True,30,2,,,,,Grid,Stages
12,4,10,True,30,2,0.8905336535737611,7200.22173500061,2540.0,208.5175554725429,135.09783458709717,209.00991675557094
13,0,10,True,30,3,0.9770450731527998,7201.222515106201,23840.0,267.9794310221595,132.92564344406128,268.03917769969985
14,1,10,True,30,3,0.9464377702103653,7200.838970184326,15613.0,222.73010890743666,130.24175596237183,222.74070575058983
15,2,10,True,30,3,0.9655797399154628,7200.5360469818115,27913.0,212.69601393514847,119.34395098686218,212.7062113711215
16,3,10,True,30,3,0.890171081360909,7200.530691146851,3421.0,143.52891700921398,125.49841928482056,143.52891700921398
17,4,10,True,30,3,,,,,Grid,Stages
18,0,10,True,40,1,0.7954340250646627,7201.860017776489,2237.0,243.30431407248915,186.47918915748596,243.6432528856277
19,1,10,True,40,1,0.8092927531927804,7200.07209777832,2288.0,233.28723104236576,181.26140069961548,253.42035032472677
20,2,10,True,40,1,0.7768784588128891,7200.111173629761,2304.0,212.52972218228615,165.9683518409729,212.53498266728428
21,3,10,True,40,1,0.7551112266691017,7200.177556991577,2862.0,208.2099030873663,189.06246399879456,229.26593683546434
22,4,10,True,40,1,0.8156286407096468,7200.125991821289,3083.0,285.9944240806655,234.09816932678223,287.0042608400863
23,0,10,True,40,2,0.8341575759792631,7200.36141204834,2231.0,144.47478730962786,133.43021368980408,144.47491442136334
24,1,10,True,40,2,0.8360158193561975,7200.348480224609,8485.0,165.61620031179757,136.5968325138092,165.97460592218846
25,2,10,True,40,2,0.8379898760617557,7200.231843948364,2884.0,161.42142371668658,138.87573671340942,161.51086676737134
26,3,10,True,40,2,0.8694265697406756,7200.264028549194,3268.0,198.06763869203928,130.23732590675354,198.0682155845218
27,4,10,True,40,2,0.8776940742780595,7200.208595275879,2106.0,187.6035046016077,117.1428120136261,187.6035046016077
28,0,10,True,40,3,0.9173450203184415,7200.536678314209,17918.0,189.5197162904656,127.87009930610657,189.72764043120418
29,1,10,True,40,3,0.883336933948115,7200.55859375,2342.0,147.17100203779503,133.77636814117432,147.21144335304734
30,2,10,True,40,3,0.9739885844839256,7201.294860839844,15161.0,162.32776416344805,131.53331756591797,162.32776416344805
31,3,10,True,40,3,0.9065194937810431,7200.575895309448,2169.0,147.09323336392677,137.65200877189636,147.09323336392677
32,4,10,True,40,3,0.9130108971741134,7201.385845184326,36987.0,130.94361040489207,129.6733365058899,139.4342457770504
33,0,10,True,50,1,0.8281851159526055,7200.310962677002,2697.0,286.5185487338255,229.20724511146545,286.59031573958646
34,1,10,True,50,1,0.8148039522906976,7200.152122497559,2278.0,257.15995769556645,138.4567346572876,257.5598783617129
35,2,10,True,50,1,0.8192095672548917,7201.12306022644,2407.0,244.1731329620314,168.80822706222534,244.17318262558496
36,3,10,True,50,1,0.8015633803700265,7200.309862136841,2251.0,262.07442736349816,248.6103744506836,288.6025756719837
37,4,10,True,50,1,0.810649754617217,7200.124565124512,2170.0,233.65881076371224,156.5399158000946,251.47154822826752
38,0,10,True,50,2,0.8656756405326534,7200.275056838989,2150.0,175.11480440753292,132.6911952495575,175.11480440753292
