,Unnamed: 0,Instance,Size,Alpha_e,time_endurance,fleet_sizeP,Runtime,NodeCount,ObjVal,HeurTime,HeurVal
0,0,0,5,True,20,1,0.8332432153746783,3600.003966093064,2442.0,150.96872264115112,35.418575048446655,157.94449992809749
1,1,1,5,True,20,1,0.8679614978586075,3600.017205953598,2374.0,208.82584704468505,48.52702593803406,208.82584704468505
2,2,2,5,True,20,1,0.8253190202153105,3600.004394054413,2924.0,108.608677589932,48.03575658798218,108.608677589932
3,0,3,5,True,20,1,0.832259542712362,3600.010483980179,2203.0,224.89682047319235,87.85794234275818,224.89682047319235
4,4,4,5,True,20,1,0.7883514394629686,3600.0063149929047,1966.0,122.47919890099,41.93579339981079,122.47919890099
5,5,0,5,True,20,2,0.8720603669708167,3600.003798007965,1480.0,167.17113767832507,39.57091522216797,167.17113767832507
6,6,1,5,True,20,2,0.8542030452641189,3600.013673067093,1777.0,172.10679347518322,76.37736988067628,208.667023630664
7,7,2,5,True,20,2,0.7819961115805583,3600.0132360458374,1764.0,128.86353562989137,40.201770067214966,131.14728513984224
8,8,3,5,True,20,2,0.9064238899951576,3600.006555080414,1502.0,203.18998659082445,46.59868621826172,203.18998659082445
9,9,4,5,True,20,2,0.856042200299136,3600.003000020981,1797.0,154.60385927554165,129.15774393081665,157.83852781480715
10,10,0,5,True,20,3,0.8911359450026888,3600.021213054657,1578.0,148.64805789473394,56.04318833351135,148.64805789473394
11,11,1,5,True,20,3,0.8052794275224545,3600.008248090744,1784.0,119.45224752862774,96.94156265258789,119.45224752862774
12,12,2,5,True,20,3,0.75904898035582,3600.0030591487885,1816.0,84.66562914857764,67.5792007446289,84.66562914857764
13,1,3,5,True,20,3,0.8702718664040722,3600.033915042877,1361.0,215.8090553399217,50.47371459007263,226.9301432417753
14,14,4,5,True,20,3,0.865903967435904,3600.016346931457,1336.0,163.93678061097853,38.087409257888794,163.93678061097853
15,15,0,5,True,30,1,0.8399499539124122,3600.0073120594025,2566.0,203.61332495807727,33.59591603279114,203.61332495807727
16,16,1,5,True,30,1,0.7967416158735422,3600.0107390880585,2264.0,139.91354682359736,37.31575608253479,139.91354682359736
17,17,2,5,True,30,1,0.8051451323976905,3600.027518987656,2434.0,111.74187165291607,41.48939895629883,111.74187165291607
18,18,3,5,True,30,1,0.8386479349760696,3600.0090601444244,2538.0,159.3739740356583,33.69006085395813,174.45287862103848
19,19,4,5,True,30,1,0.7975402856822884,3600.0172221660614,1920.0,131.70702597465714,48.60166120529175,137.19176127827666
20,20,0,5,True,30,2,0.7893259194602432,3600.006017923355,1907.0,110.2889986360153,29.59241771697998,110.2889986360153
21,21,1,5,True,30,2,0.743879682249887,3600.0078299045563,2246.0,117.55386833123416,35.65351152420044,117.58278666214038
22,22,2,5,True,30,2,0.8341160121593573,3600.0049138069157,2220.0,123.64832698779452,25.479692459106445,133.97951269381466
23,23,3,5,True,30,2,0.7692260113681232,3600.052635908127,2096.0,95.0285728529233,33.52765202522278,96.81074123305656
24,24,4,5,True,30,2,0.8087640859613736,3600.005860090256,2059.0,105.12619932734844,34.845322608947754,105.12619932734844
25,25,0,5,True,30,3,0.787139032183329,3600.007486104965,2234.0,95.04934634485387,25.161203145980835,107.06974965455584
