,Instance,Size,Alpha_e,Capacity,Num_Drones,GAP,Runtime,NodeCount,ObjVal,HeurTime,HeurVal
0,0,5,True,20,1,0.8332432153746783,3600.0039660930634,2442.0,150.96872264115112,4.178773403167725,157.6429470728903
1,1,5,True,20,1,0.8679614978586075,3600.017205953598,2374.0,223.04215290950887,3.9862215518951416,232.2016989613158
2,2,5,True,20,1,0.8253190202153105,3600.004394054413,2924.0,159.0373044323634,5.860135555267334,159.18219330057224
0,3,5,True,20,1,0.832259542712362,3600.010483980179,2203.0,231.71185536919717,142.51800346374512,233.14552773683263
4,4,5,True,20,1,0.7883514394629686,3600.0063149929047,1966.0,126.6443622247555,3.976985454559326,150.51462405972742
5,0,5,True,20,2,0.8720603669708167,3600.003798007965,1480.0,172.21466885075245,4.447388410568237,198.31275534508478
6,1,5,True,20,2,0.8542030452641189,3600.013673067093,1777.0,172.10679347518322,5.4845640659332275,245.27862196814783
7,2,5,True,20,2,0.7819961115805583,3600.0132360458374,1764.0,128.86353562989137,2.5685181617736816,143.6726250680369
8,3,5,True,20,2,0.9064238899951577,3600.006555080414,1502.0,241.23200977171894,5.157279014587402,309.51694121331826
9,4,5,True,20,2,0.856042200299136,3600.003000020981,1797.0,154.60385927554165,4.1377480030059814,154.60385927554165
10,0,5,True,20,3,0.8911359450026888,3600.021213054657,1578.0,188.40082950919523,3.829740524291992,188.41857974396703
11,1,5,True,20,3,0.8052794275224545,3600.008248090744,1784.0,145.9492404859447,4.5403289794921875,145.96458631328977
12,2,5,True,20,3,0.75904898035582,3600.0030591487885,1816.0,85.8291620604933,3.6922760009765625,107.35322337151216
1,3,5,True,20,3,0.8702718664040722,3600.033915042877,1361.0,215.8090553399217,142.5086395740509,223.32465323986077
14,4,5,True,20,3,0.865903967435904,3600.0163469314575,1336.0,188.44000002518592,4.100811958312988,188.44997483150428
15,0,5,True,30,1,0.8399499539124122,3600.0073120594025,2566.0,208.2621175438027,5.26112699508667,208.42886738403553
16,1,5,True,30,1,0.7967416158735422,3600.0107390880585,2264.0,147.1739216851926,3.918619394302368,175.39113914319427
17,2,5,True,30,1,0.8051451323976905,3600.0275189876556,2434.0,121.73659208719734,4.907453536987305,121.73659208719734
18,3,5,True,30,1,0.8386479349760696,3600.0090601444244,2538.0,159.3739740356583,5.3662428855896,173.92932398818786
19,4,5,True,30,1,0.7975402856822884,3600.0172221660614,1920.0,131.70702597465714,4.45069146156311,156.00473460587702
20,0,5,True,30,2,0.7893259194602432,3600.006017923355,1907.0,111.19432573356391,4.113781452178955,114.64080359954578
