,Instance,Size,Alpha_e,Capacity,Num_Drones,GAP,Runtime,NodeCount,ObjVal,HeurTime,HeurVal
0,0,5,True,20,1,inf,13.039621114730835,0.0,176.98627800679628,135.77079916000366,176.98627800679628
1,1,5,True,20,1,inf,15.431648969650269,0.0,211.45218950589054,78.98028135299683,211.45218950589054
2,2,5,True,20,1,inf,15.518088817596436,0.0,126.13592621285459,79.86419606208801,126.13592621285459
3,3,5,True,20,1,inf,19.963649034500122,0.0,240.76197711772122,24.813807487487793,240.76197711772122
4,4,5,True,20,1,inf,15.85230803489685,0.0,160.75210209702857,109.20706915855408,160.75210209702857
5,0,5,True,20,2,inf,18.687063932418823,0.0,191.32988853401406,82.35109543800354,191.32988853401406
6,1,5,True,20,2,inf,20.642375946044922,0.0,229.04195565403265,85.8483533859253,229.04195565403265
7,2,5,True,20,2,inf,3.243557929992676,0.0,138.1940440221667,66.2182548046112,138.1940440221667
8,3,5,True,20,2,inf,15.383539915084839,0.0,272.1842809409479,114.02532649040222,272.1842809409479
9,4,5,True,20,2,inf,12.447441101074219,0.0,161.5702036783231,79.1046895980835,161.5702036783231
10,0,5,True,20,3,inf,18.058314085006714,0.0,152.3717496656418,90.03367614746094,152.3717496656418
11,1,5,True,20,3,inf,20.628983974456787,0.0,144.74660307553614,32.75377821922302,144.74660307553614
12,2,5,True,20,3,inf,20.361125946044922,0.0,95.60976183022605,118.24667406082153,95.60976183022605
13,3,5,True,20,3,inf,18.818336963653564,0.0,235.35291980529166,82.93574976921082,235.35291980529166
14,4,5,True,20,3,inf,3.133740186691284,0.0,150.2091451988975,66.87071061134338,150.2091451988975
15,0,5,True,30,1,inf,21.145888090133667,0.0,197.1826983241604,30.1270432472229,197.1826983241604
16,1,5,True,30,1,inf,10.9199538230896,0.0,174.024408326885,16.1541006565094,174.024408326885
17,2,5,True,30,1,inf,8.937988996505737,0.0,121.46001962537747,21.96637725830078,121.46001962537747
18,3,5,True,30,1,inf,10.968265056610107,0.0,164.61521834603107,76.2101240158081,164.61521834603107
19,4,5,True,30,1,inf,4.242995023727417,0.0,139.16663665579173,69.43286061286926,139.16663665579173
20,0,5,True,30,2,inf,4.386401891708374,0.0,116.8318732548098,77.47650194168091,116.8318732548098
21,1,5,True,30,2,inf,10.591126918792725,0.0,115.42552738717526,23.197413682937622,115.42552738717526
22,2,5,True,30,2,inf,9.686399936676025,0.0,145.7506749323995,96.12907719612122,145.7506749323995
23,3,5,True,30,2,inf,9.136743068695068,0.0,102.57955138113793,101.77730011940002,102.57955138113793
24,4,5,True,30,2,,,,,,
25,0,5,True,30,3,inf,5.3265979290008545,0.0,101.95906296155889,103.44732356071472,101.95906296155889
26,1,5,True,30,3,inf,7.4191389083862305,0.0,142.05299668621066,74.0670735836029,142.05299668621066
27,2,5,True,30,3,inf,15.783970832824707,0.0,162.73753349099007,90.96678566932678,162.73753349099007
28,3,5,True,30,3,inf,16.240390062332153,0.0,141.42122099785269,110.53358697891235,141.42122099785269
29,4,5,True,30,3,inf,2.462433099746704,0.0,123.48544871536895,118.22082901000977,123.48544871536895
30,0,5,True,40,1,inf,8.953001976013184,0.0,151.15984265899536,95.23416757583618,151.15984265899536
31,1,5,True,40,1,inf,3.507305860519409,0.0,145.96150297551048,68.65472841262817,145.96150297551048
32,2,5,True,40,1,inf,3.1887760162353516,0.0,162.86634583495382,68.33461380004883,162.86634583495382
33,3,5,True,40,1,inf,2.4010488986968994,0.0,151.23788611788783,129.55467915534973,151.23788611788783
34,4,5,True,40,1,inf,10.598023176193237,0.0,169.84628436505523,40.15362310409546,169.84628436505523
35,0,5,True,40,2,inf,14.275004148483276,0.0,141.29869417481657,77.64812111854553,141.29869417481657
36,1,5,True,40,2,inf,1.5860230922698975,0.0,126.43912207891479,108.045565366745,126.43912207891479
37,2,5,True,40,2,inf,2.808866024017334,0.0,121.28853961481863,77.71082329750061,121.28853961481863
38,3,5,True,40,2,inf,5.156389951705933,0.0,125.38892866131813,93.41338992118835,125.38892866131813
39,4,5,True,40,2,inf,6.909636974334717,0.0,115.6998542713026,73.98810148239136,115.6998542713026
40,0,5,True,40,3,inf,19.661638975143433,0.0,175.23438028151725,97.09373068809509,175.23438028151725
41,1,5,True,40,3,inf,6.649418115615845,0.0,99.88106051131243,96.77777290344238,99.88106051131243
42,2,5,True,40,3,inf,10.378811120986938,0.0,114.13420856764577,73.43219590187073,114.13420856764577
43,3,5,True,40,3,inf,4.761458158493042,0.0,108.11688645286767,67.49070239067078,108.11688645286767
44,4,5,True,40,3,inf,8.205427885055542,0.0,155.5703202937758,130.55091309547424,155.5703202937758
45,0,5,True,50,1,inf,5.909440040588379,0.0,127.32046993628558,118.47295689582825,127.32046993628558
46,1,5,True,50,1,inf,8.9268159866333,0.0,183.9124816814364,72.82992196083069,183.9124816814364
47,2,5,True,50,1,inf,5.42770791053772,0.0,118.15051000220662,129.48182082176208,118.15051000220662
48,3,5,True,50,1,inf,9.817921876907349,0.0,77.50896403028862,122.70990347862244,77.50896403028862
49,4,5,True,50,1,,,,,,
50,0,5,True,50,2,inf,10.812366962432861,0.0,111.89582818479943,57.478569984436035,111.89582818479943
51,1,5,True,50,2,inf,12.164108991622925,0.0,108.36999983979504,96.009117603302,108.36999983979504
52,2,5,True,50,2,inf,9.484153985977173,0.0,134.73653454709705,72.61847019195557,134.73653454709705
53,3,5,True,50,2,inf,8.086920976638794,0.0,135.59789514535416,60.17955017089844,135.59789514535416
54,4,5,True,50,2,inf,8.831387042999268,0.0,87.20958154950944,78.93793487548828,87.20958154950944
55,0,5,True,50,3,inf,10.283534049987793,0.0,128.93889564515842,72.29228568077087,128.93889564515842
