,Instance,Size,Alpha_e,Capacity,Num_Drones,GAP,Runtime,NodeCount,ObjVal
0,0,10,True,20,1,,,,
1,1,10,True,20,1,0.8703264766494768,3600.011896133423,1646.0,342.3299714115516
2,2,10,True,20,1,,,,
3,4,10,True,20,1,0.8960135049875457,3600.022110939026,2040.0,419.805869007785
4,3,10,True,20,2,,,,
5,3,10,True,40,2,,,,
6,0,10,False,20,1,0.9944297840726477,3600.1978311538696,2453.0,171.47609240885853
7,2,10,False,20,1,0.9957565911607614,3600.1309340000153,2128.0,181.25687392943757
8,0,10,False,20,2,1.0,3600.022101163864,2045.0,265.5561738981612
9,1,10,False,20,3,,,,
10,2,10,False,20,3,0.999999999999998,3600.013002872467,2142.0,174.98599442574783
