,Instance,Size,Alpha_e,Capacity,Num_Drones,GAP,Runtime,NodeCount,ObjVal,HeurTime,HeurVal
0,0,5,True,20,1,inf,0.47246694564819336,0.0,178.2917978714368,14.674273014068604,178.2917978714368
1,1,5,True,20,1,inf,0.5183291435241699,0.0,255.78814249708978,14.339466333389282,255.78814249708978
2,2,5,True,20,1,inf,0.4873049259185791,0.0,128.222227385443,16.052394151687622,128.222227385443
3,3,5,True,20,1,inf,1.8756961822509766,0.0,224.02914290359143,14.160033464431763,224.02914290359143
4,4,5,True,20,1,inf,0.3900871276855469,0.0,141.86857402653098,14.088970422744751,141.86857402653098
5,0,5,True,20,2,inf,0.4643058776855469,0.0,199.7315169453643,11.627341508865356,199.7315169453643
6,1,5,True,20,2,inf,0.43228697776794434,0.0,238.5024105900925,17.917503595352173,238.5024105900925
7,2,5,True,20,2,inf,0.393261194229126,0.0,164.11720717088764,10.529101371765137,164.11720717088764
8,3,5,True,20,2,inf,1.6232750415802002,0.0,209.2802538669205,15.7207772731781,209.2802538669205
9,4,5,True,20,2,inf,0.4473001956939697,0.0,191.8650544354756,110.81799411773682,191.8650544354756
10,0,5,True,20,3,inf,0.41225719451904297,0.0,167.31162530875764,16.541995525360107,167.31162530875764
11,1,5,True,20,3,inf,0.4589262008666992,0.0,150.1938959168458,9.745543956756592,150.1938959168458
12,2,5,True,20,3,inf,0.4214038848876953,0.0,98.26405737162173,15.639007091522217,98.26405737162173
13,3,5,True,20,3,inf,1.4219551086425781,0.0,233.86510033293678,15.26140022277832,233.86510033293678
14,4,5,True,20,3,inf,0.5049519538879395,0.0,209.3831512122696,9.998334407806396,209.3831512122696
15,0,5,True,30,1,inf,0.4614861011505127,0.0,238.1988644898641,15.130637407302856,238.1988644898641
16,1,5,True,30,1,inf,0.43131303787231445,0.0,185.59787587161634,8.92455267906189,185.59787587161634
17,2,5,True,30,1,inf,0.3823361396789551,0.0,129.7086912012778,15.073970079421997,129.7086912012778
18,3,5,True,30,1,inf,0.5084891319274902,0.0,196.5946319897544,19.830907344818115,196.5946319897544
19,4,5,True,30,1,inf,0.4225478172302246,0.0,170.0204902645062,9.656591415405273,170.0204902645062
20,0,5,True,30,2,inf,0.41976404190063477,0.0,134.54746771048826,9.75977087020874,134.54746771048826
21,1,5,True,30,2,inf,0.43442797660827637,0.0,131.4655922163421,13.371761798858643,131.4655922163421
22,2,5,True,30,2,inf,0.4216279983520508,0.0,146.5130380669838,19.248631715774536,146.5130380669838
23,3,5,True,30,2,inf,0.3475959300994873,0.0,80.39967034868096,14.324843406677246,80.39967034868096
24,4,5,True,30,2,inf,0.3824639320373535,0.0,97.52546775078761,14.924102544784546,97.52546775078761
25,0,5,True,30,3,inf,1.7300240993499756,0.0,75.49825435712077,9.737370252609253,75.49825435712077
26,1,5,True,30,3,inf,0.40762901306152344,0.0,140.95864084941368,19.56056809425354,140.95864084941368
27,2,5,True,30,3,inf,0.46634387969970703,0.0,192.60672921730435,9.786105871200562,192.60672921730435
28,3,5,True,30,3,inf,1.4335482120513916,0.0,103.45006944151788,8.182576656341553,103.45006944151788
29,4,5,True,30,3,inf,1.7198028564453125,0.0,116.89358722674669,7.3951826095581055,116.89358722674669
30,0,5,True,40,1,inf,0.35589098930358887,0.0,160.39518143823574,11.615018129348755,160.39518143823574
31,1,5,True,40,1,inf,0.3480069637298584,0.0,135.20928981057727,126.14757227897644,135.20928981057727
32,2,5,True,40,1,inf,0.32106709480285645,0.0,139.22770869653564,14.48427677154541,139.22770869653564
33,3,5,True,40,1,inf,0.3425619602203369,0.0,161.3039740782869,14.290474653244019,161.3039740782869
34,4,5,True,40,1,inf,0.367340087890625,0.0,155.32787451977316,19.49757480621338,155.32787451977316
35,0,5,True,40,2,inf,1.410383939743042,0.0,100.20551095563845,17.347615242004395,100.20551095563845
36,1,5,True,40,2,inf,0.2940709590911865,0.0,114.40502927766084,20.268486499786377,114.40502927766084
37,2,5,True,40,2,inf,0.3724510669708252,0.0,95.59551347035551,19.510489225387573,95.59551347035551
38,3,5,True,40,2,inf,0.881072998046875,0.0,103.05273091080711,19.770212411880493,103.05273091080711
39,4,5,True,40,2,inf,0.3169679641723633,0.0,91.55719583546046,17.133016347885132,91.55719583546046
40,0,5,True,40,3,inf,0.32230496406555176,0.0,149.01058238997837,11.934132814407349,149.01058238997837
41,1,5,True,40,3,inf,0.352794885635376,0.0,73.91332559960634,8.742584228515625,73.91332559960634
42,2,5,True,40,3,inf,0.40818095207214355,0.0,106.58180790583839,14.253892183303833,106.58180790583839
43,3,5,True,40,3,inf,0.2615969181060791,0.0,65.22464301245536,19.93188214302063,65.22464301245536
44,4,5,True,40,3,inf,1.6339781284332275,0.0,119.14253841002542,18.942476272583008,119.14253841002542
45,0,5,True,50,1,inf,0.4178309440612793,0.0,128.64913690577416,19.655131578445435,128.64913690577416
46,1,5,True,50,1,inf,0.3740959167480469,0.0,164.7222270558929,18.972306728363037,164.7222270558929
47,2,5,True,50,1,inf,0.3815579414367676,0.0,126.69874364763459,15.064507007598877,126.69874364763459
48,3,5,True,50,1,inf,0.3367879390716553,0.0,89.3912541012534,9.12380599975586,89.3912541012534
49,4,5,True,50,1,inf,0.5293490886688232,0.0,126.18402634530591,18.305919885635376,126.18402634530591
50,0,5,True,50,2,inf,0.3859078884124756,0.0,114.64218805150945,12.50858998298645,114.64218805150945
51,1,5,True,50,2,inf,0.30538296699523926,0.0,96.227082646761,14.663564443588257,96.227082646761
52,2,5,True,50,2,inf,0.9595088958740234,0.0,106.21869805482764,11.926544189453125,106.21869805482764
53,3,5,True,50,2,inf,0.3117389678955078,0.0,98.80657157105757,3.0713565349578857,98.80657157105757
54,4,5,True,50,2,inf,0.3841531276702881,0.0,77.32370558384763,15.823481798171997,77.32370558384763
55,0,5,True,50,3,inf,0.36939096450805664,0.0,89.87917698654661,10.194904804229736,89.87917698654661
56,1,5,True,50,3,inf,0.3317899703979492,0.0,73.26067715693655,9.537394523620605,73.26067715693655
57,2,5,True,50,3,inf,0.28643202781677246,0.0,83.50149403255568,8.95100736618042,83.50149403255568
58,3,5,True,50,3,inf,0.31572914123535156,0.0,81.51123838651255,14.2037513256073,81.51123838651255
59,4,5,True,50,3,inf,0.36070895195007324,0.0,94.47088043618453,20.202549934387207,94.47088043618453
60,0,5,True,60,1,inf,0.404008150100708,0.0,142.02022420462657,15.851824045181274,142.02022420462657
61,1,5,True,60,1,inf,0.36620402336120605,0.0,138.30587044724348,18.609220504760742,138.30587044724348
62,2,5,True,60,1,inf,0.37152910232543945,0.0,135.123200121536,16.66039800643921,135.123200121536
63,3,5,True,60,1,inf,0.4314451217651367,0.0,115.28649298670766,19.65660285949707,115.28649298670766
64,4,5,True,60,1,inf,0.34792423248291016,0.0,126.15737887102063,9.936110496520996,126.15737887102063
65,0,5,True,60,2,inf,0.2592301368713379,0.0,80.67860360255985,11.860419750213623,80.67860360255985
66,1,5,True,60,2,inf,0.31946611404418945,0.0,107.29205091725643,13.476550817489624,107.29205091725643
67,2,5,True,60,2,inf,0.29758787155151367,0.0,88.05258264120005,17.360928297042847,88.05258264120005
68,3,5,True,60,2,inf,0.2797980308532715,0.0,98.33642698892558,16.73660945892334,98.33642698892558
69,4,5,True,60,2,inf,0.31262993812561035,0.0,101.64039990612443,16.98734736442566,101.64039990612443
70,0,5,True,60,3,inf,0.2998480796813965,0.0,80.3536279901301,12.879204750061035,80.3536279901301
71,1,5,True,60,3,inf,0.30829787254333496,0.0,68.62480632120611,17.335713386535645,68.62480632120611
72,2,5,True,60,3,inf,0.3586139678955078,0.0,69.10710765211289,10.756701946258545,69.10710765211289
73,3,5,True,60,3,inf,0.3116779327392578,0.0,98.51655909165063,17.475544929504395,98.51655909165063
74,4,5,True,60,3,inf,0.30954694747924805,0.0,64.18400054349803,16.939835786819458,64.18400054349803
75,0,5,False,20,1,inf,0.36543703079223633,0.0,142.32683450801417,7.563619613647461,142.32683450801417
76,1,5,False,20,1,inf,0.43183088302612305,0.0,164.18908228697688,5.345420837402344,164.18908228697688
77,2,5,False,20,1,inf,0.4338970184326172,0.0,236.5075441970121,5.094429969787598,236.5075441970121
78,3,5,False,20,1,inf,0.42154598236083984,0.0,146.0015746708234,5.593318939208984,146.0015746708234
79,4,5,False,20,1,inf,0.47450900077819824,0.0,226.98651202888226,4.330604076385498,226.98651202888226
80,0,5,False,20,2,inf,0.5375220775604248,0.0,130.24238843245644,4.987336158752441,130.24238843245644
81,1,5,False,20,2,inf,0.432466983795166,0.0,245.43968491538885,4.0590596199035645,245.43968491538885
82,2,5,False,20,2,inf,1.4603159427642822,0.0,192.5798945858723,5.404289484024048,192.5798945858723
83,3,5,False,20,2,inf,1.4556920528411865,0.0,138.2516283455384,4.707830905914307,138.2516283455384
28,4,5,False,20,2,inf,1.18548965454,33424.0,196.11080547865294,4.5839433670043945,278.1386226411925
85,0,5,False,20,3,inf,0.4301309585571289,0.0,237.8446479711762,4.157628536224365,237.8446479711762
86,1,5,False,20,3,inf,0.4403247833251953,0.0,185.54482486477258,4.686737537384033,185.54482486477258
87,2,5,False,20,3,inf,0.395474910736084,0.0,183.4999186458965,3.0288782119750977,183.4999186458965
88,3,5,False,20,3,inf,0.42943716049194336,0.0,119.2382112828912,4.958940744400024,119.2382112828912
89,4,5,False,20,3,inf,0.5124130249023438,0.0,255.92926930534782,5.131997108459473,255.92926930534782
90,0,5,False,30,1,inf,0.46707797050476074,0.0,139.2583598158665,4.350131273269653,139.2583598158665
91,1,5,False,30,1,inf,0.3806579113006592,0.0,118.25513451664911,5.231513500213623,118.25513451664911
92,2,5,False,30,1,inf,1.165416955947876,0.0,262.50384866847264,8.300090789794922,262.50384866847264
93,3,5,False,30,1,inf,0.40526700019836426,0.0,155.63731890063207,3.967072010040283,155.63731890063207
94,4,5,False,30,1,inf,0.506493091583252,0.0,114.84927346666794,23.53356623649597,114.84927346666794
95,0,5,False,30,2,inf,0.3797190189361572,0.0,144.19633173618655,4.095735311508179,144.19633173618655
96,1,5,False,30,2,inf,0.41834092140197754,0.0,145.12561960065563,4.468691825866699,145.12561960065563
97,2,5,False,30,2,inf,1.6790452003479004,0.0,144.21909971928034,5.322266340255737,144.21909971928034
98,3,5,False,30,2,inf,0.4320340156555176,0.0,153.63888276093303,4.05539083480835,153.63888276093303
99,4,5,False,30,2,inf,0.34984278678894043,0.0,126.75719406050855,3.701714038848877,126.75719406050855
100,0,5,False,30,3,inf,0.38989710807800293,0.0,166.90936666801457,4.722064256668091,166.90936666801457
101,1,5,False,30,3,inf,0.3545248508453369,0.0,159.0030673825015,2.9750661849975586,159.0030673825015
102,2,5,False,30,3,inf,0.34148502349853516,0.0,147.89157475677104,3.3456389904022217,147.89157475677104
103,3,5,False,30,3,inf,0.41687989234924316,0.0,144.16233382510165,3.8537485599517822,144.16233382510165
104,4,5,False,30,3,inf,1.5209300518035889,0.0,135.04302352169745,5.228792190551758,135.04302352169745
105,0,5,False,40,1,inf,0.28142714500427246,0.0,125.28099568863463,5.449569940567017,125.28099568863463
106,1,5,False,40,1,inf,0.3703479766845703,0.0,186.53143935326648,5.925940990447998,186.53143935326648
107,2,5,False,40,1,inf,0.30873894691467285,0.0,134.3413128457608,4.847432851791382,134.3413128457608
108,3,5,False,40,1,inf,0.3228168487548828,0.0,161.425167222906,5.669414043426514,161.425167222906
109,4,5,False,40,1,inf,0.3749210834503174,0.0,154.32533186850515,5.410327672958374,154.32533186850515
110,0,5,False,40,2,inf,0.30579090118408203,0.0,92.59862097183439,3.7996017932891846,92.59862097183439
111,1,5,False,40,2,inf,0.3554110527038574,0.0,126.37851418945633,3.905754566192627,126.37851418945633
112,2,5,False,40,2,inf,0.40920305252075195,0.0,120.1466888735854,6.146397113800049,120.1466888735854
113,3,5,False,40,2,inf,0.2951700687408447,0.0,89.89675893078791,3.8705217838287354,89.89675893078791
114,4,5,False,40,2,inf,1.6047940254211426,0.0,111.85595890539355,5.0090086460113525,111.85595890539355
115,0,5,False,40,3,inf,0.5148739814758301,0.0,77.07619201440396,3.927042007446289,77.07619201440396
