,Instance,Size,Alpha_e,Capacity,Num_Drones,GAP,Runtime,NodeCount,ObjVal
0,0,5,True,20,1,0.7938916220542888,3600.052444934845,18172.0,134.65098103914448
1,1,5,True,20,1,0.8421259599049403,3600.0090658664703,18692.0,206.40485792234963
2,2,5,True,20,1,0.7485101433901161,3600.2706179618835,14939.0,109.66049121146389
3,3,5,True,20,1,0.8280548295526186,3600.01878285408,6750.0,277.56567444629974
4,4,5,True,20,1,0.8200944336297179,3600.0051169395447,3330.0,155.83611764132132
5,0,5,True,20,2,0.9194827077745921,3600.0092232227325,18231.0,159.63449513410853
6,1,5,True,20,2,0.9382271465604172,3600.0048489570618,3182.0,241.41751588129011
7,2,5,True,20,2,0.904606427668252,3600.029524087906,3354.0,169.47624876816195
8,3,5,True,20,2,0.9506447896102967,3600.001816034317,3142.0,295.43415512107873
9,4,5,True,20,2,0.9171777313449386,3600.0110669136047,13246.0,160.59619180960254
10,0,5,True,20,3,0.9489259368853985,3600.006772994995,2974.0,169.2055001490869
11,1,5,True,20,3,0.8904242686381786,3600.0686411857605,24554.0,113.30004896121632
12,2,5,True,20,3,0.8975564967630941,3600.01131606102,36079.0,83.5343897696004
13,3,5,True,20,3,0.9287685897867185,3600.01194190979,20019.0,226.1323519540205
14,4,5,True,20,3,0.9263134428432594,3600.0662310123444,24617.0,160.9119992669265
15,0,5,True,30,1,0.8259279119780784,3600.029678106308,13988.0,194.61073316766442
16,1,5,True,30,1,0.7837210424576313,3600.268096923828,14268.0,143.8010848600444
17,2,5,True,30,1,0.7770622242471201,3600.007285118103,14981.0,116.31402575615923
18,3,5,True,30,1,0.7487882540547043,3600.0433411598206,25692.0,135.08352045182238
19,4,5,True,30,1,0.7936897817045996,3600.034623861313,6049.0,135.20993102659173
20,0,5,True,30,2,0.8418182959812673,3600.057329893112,64472.0,78.48869795875525
21,1,5,True,30,2,0.8022015388523147,3600.102262020111,94654.0,87.70877258597991
22,2,5,True,30,2,0.8646215483100745,3600.033763885498,27230.0,96.56608529596653
23,3,5,True,30,2,0.8210050352533603,3600.0118060112,18788.0,70.95684823269502
24,4,5,True,30,2,0.8524393610787131,3600.0182428359985,35664.0,90.82732644645483
25,0,5,True,30,3,0.8715834717646289,3600.0093870162964,99525.0,68.0075519020921
